text,label
"Government confirms COVID vaccine is safe",1
"NASA confirms aliens have landed in USA",0
"India wins T20 World Cup 2024",1
"Bill Gates is giving away free iPhones",0
"Supreme court passed new education bill",1
"Breaking: Rahul Gandhi joins BJP",0
"Aliens land in Mumbai subway",0
"Modi launches new healthcare scheme",1
"Chocolate found to cure cancer",0
"RBI reduces repo rate by 1%",1
"Actor caught traveling to Mars secretly",0
"Scientists develop vaccine for all viruses",1
"Pet cat wins local elections",0
"Government bans plastic nationwide",1
"Aliens spotted in Taj Mahal",0
"India's economy grows 7% in Q2",1
"Apple offers free MacBooks in India",0
"New education policy announced",1
"Elon Musk plans to live in ocean",0
"COVID cases drop to zero",1
